startup_name,industry,sub_industry,city,investors,funding_round,funding_amount_usd,date,data_source,year,was_url
Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0,2019-07-10,2000_2023,2019.0,False
Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0,2019-07-10,2000_2023,2019.0,False
Healthassure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,2019-07-10,2000_2023,2019.0,False
House Of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,2019-07-09,2000_2023,2019.0,False
Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0,2019-07-08,2000_2023,2019.0,False
Nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0,2019-06-05,2000_2023,2019.0,False
Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0,2019-06-04,2000_2023,2019.0,False
Fabhotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Undisclosed,4889975.54,2019-06-03,2000_2023,2019.0,False
Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0,2019-06-03,2000_2023,2019.0,False
Bharatpe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000.0,2019-06-04,2000_2023,2019.0,False
Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,2019-06-04,2000_2023,2019.0,False
Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0,2019-06-03,2000_2023,2019.0,False
Sistema.Bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Undisclosed,2739034.68,2019-06-06,2000_2023,2019.0,False
Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000.0,2019-06-06,2000_2023,2019.0,False
Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0,2019-06-06,2000_2023,2019.0,False
Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0,2019-06-10,2000_2023,2019.0,False
Okcredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0,2019-06-10,2000_2023,2019.0,False
Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0,2019-06-06,2000_2023,2019.0,False
Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0,2019-06-08,2000_2023,2019.0,False
Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,2019-06-04,2000_2023,2019.0,False
Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,,2019-05-06,2000_2023,2019.0,False
Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0,2019-05-06,2000_2023,2019.0,False
Styledotme,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,,2019-05-05,2000_2023,2019.0,False
Blackbuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,2019-05-01,2000_2023,2019.0,False
Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,2019-05-02,2000_2023,2019.0,False
Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0,2019-05-28,2000_2023,2019.0,False
Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0,2019-05-28,2000_2023,2019.0,False
Glowroad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,2019-05-30,2000_2023,2019.0,False
Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000.0,2019-05-31,2000_2023,2019.0,False
Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0,2019-04-16,2000_2023,2019.0,False
Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,2019-04-12,2000_2023,2019.0,False
Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,2019-04-10,2000_2023,2019.0,False
Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0,2019-04-13,2000_2023,2019.0,False
Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0,2019-04-12,2000_2023,2019.0,False
Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0,2019-04-11,2000_2023,2019.0,False
Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0,2019-04-10,2000_2023,2019.0,False
Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,2019-04-10,2000_2023,2019.0,False
Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0,2019-04-10,2000_2023,2019.0,False
Clevertap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,2019-04-11,2000_2023,2019.0,False
My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0,2019-04-19,2000_2023,2019.0,False
Krazybee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,,2019-04-19,2000_2023,2019.0,False
Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0,2019-04-17,2000_2023,2019.0,False
Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0,2019-04-17,2000_2023,2019.0,False
Fleetx,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,,2019-02-01,2000_2023,2019.0,False
Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,2019-02-08,2000_2023,2019.0,False
Nanoclean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0,2019-02-13,2000_2023,2019.0,False
Oyorooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000.0,2018-02-14,2000_2023,2018.0,False
Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,2019-01-03,2000_2023,2019.0,False
Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,2019-01-04,2000_2023,2019.0,False
Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0,2019-01-04,2000_2023,2019.0,False
Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0,2018-12-04,2000_2023,2018.0,False
Urbanclap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,2018-12-01,2000_2023,2018.0,False
Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0,2018-12-02,2000_2023,2018.0,False
Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000.0,2018-12-02,2000_2023,2018.0,False
Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,2018-12-04,2000_2023,2018.0,False
Shopkirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,2018-12-06,2000_2023,2018.0,False
Buildsupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,2018-12-06,2000_2023,2018.0,False
Godesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.0,2018-11-01,2000_2023,2018.0,False
Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,2018-11-03,2000_2023,2018.0,False
Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,2018-11-06,2000_2023,2018.0,False
Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000.0,2018-11-08,2000_2023,2018.0,False
A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000.0,2018-11-08,2000_2023,2018.0,False
Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0,2018-11-12,2000_2023,2018.0,False
Milkbasket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000.0,2018-11-12,2000_2023,2018.0,False
Driveu,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0,2018-11-13,2000_2023,2018.0,False
Cleansecar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.0,2018-11-14,2000_2023,2018.0,False
Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000.0,2018-11-19,2000_2023,2018.0,False
Healthifyme,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0,2018-11-20,2000_2023,2018.0,False
Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278000.0,2018-11-21,2000_2023,2018.0,False
Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0,2018-11-22,2000_2023,2018.0,False
Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,,2018-11-22,2000_2023,2018.0,False
Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,2018-11-23,2000_2023,2018.0,False
Engineer.Ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0,2018-11-24,2000_2023,2018.0,False
Incred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,2018-11-25,2000_2023,2018.0,False
Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0,2018-11-25,2000_2023,2018.0,False
Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,,2018-10-01,2000_2023,2018.0,False
Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0,2018-10-02,2000_2023,2018.0,False
Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,2018-10-04,2000_2023,2018.0,False
Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0,2018-10-05,2000_2023,2018.0,False
Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0,2018-10-11,2000_2023,2018.0,False
Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0,2018-10-12,2000_2023,2018.0,False
Letstransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0,2018-10-12,2000_2023,2018.0,False
Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,2018-09-01,2000_2023,2018.0,False
Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,2018-09-03,2000_2023,2018.0,False
Daily Hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0,2018-09-03,2000_2023,2018.0,False
3Hcare,Healthcare,Healthcare Service Provider,Delhi,,Seed / Angel Funding,1000000.0,2018-09-04,2000_2023,2018.0,False
Happygoeasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,,2018-09-04,2000_2023,2018.0,False
Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0,2018-09-05,2000_2023,2018.0,False
Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,,2018-09-05,2000_2023,2018.0,False
Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,2018-09-06,2000_2023,2018.0,False
Mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0,2018-09-10,2000_2023,2018.0,False
Autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,2018-09-11,2000_2023,2018.0,False
Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0,2018-09-11,2000_2023,2018.0,False
Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,2018-09-11,2000_2023,2018.0,False
Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,2018-09-12,2000_2023,2018.0,False
Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0,2018-08-01,2000_2023,2018.0,False
Healthfin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,,2018-08-01,2000_2023,2018.0,False
Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,2018-08-02,2000_2023,2018.0,False
Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0,2018-08-03,2000_2023,2018.0,False
My Omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,,Seed/ Angel Funding,1000000.0,2018-08-07,2000_2023,2018.0,False
Shopx,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,2018-08-07,2000_2023,2018.0,False
Makemytrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0,2018-08-07,2000_2023,2018.0,False
Hansel Io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0,2018-08-08,2000_2023,2018.0,False
Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,2018-08-08,2000_2023,2018.0,False
Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0,2018-08-08,2000_2023,2018.0,False
Quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0,2018-08-09,2000_2023,2018.0,False
Happy Emi,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0,2018-08-09,2000_2023,2018.0,False
Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.0,2018-08-13,2000_2023,2018.0,False
Observe Ai,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0,2018-08-13,2000_2023,2018.0,False
